,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MOVILES,,CABLES,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
C6LITE-10P-OUT,,10 PIN  cable para C6Lite,STREAMAX,"14,96","16,32","17,95",21,88,0,0,0,0,5,93
SM-GX6-3M,,6 Pin Extension cable 3 M,STREAMAX,"7,16","7,81","8,59",21,225,0,0,0,0,9,234
AE-MCE21X-05C05,,Accesorio Cable AE-MW1203,HIKVISION,"74,00","120,00","149,00",21,0,0,0,0,0,0,0
SM-ALARMSERIALX3N,,Alarm 16 pins + serial 14,STREAMAX,"18,70","20,40","22,44",21,20,0,0,0,0,5,25
B2-TRFCABLE,,B2 Transfer Cable,STREAMAX,"14,96","16,32","17,95",21,4,0,0,0,0,0,4
SM-GX4-7M,,Cable  GX 4 pines 7 metro,STREAMAX,"17,89","19,51","21,47",21,0,0,0,0,0,9,9
ADP20-10P-OUT,,Cable 10 pines para AD Pl,STREAMAX,"14,96","16,32","17,95",21,91,0,0,0,0,10,101
AE-MC0201-16,,Cable 16 mt conect Aviaci,HIKVISION,"26,90","43,00","54,00",21,2,0,0,0,0,0,2
AE-MC0201-20,,Cable 20 mtrs conect tipo,HIKVISION,"34,50","56,00","69,00",21,64,0,0,0,0,0,64
MCNU-GXF4-GXM4-6,,Cable 4 pin 6mt mobile,DAHUA,"5,50","5,50","16,00",21,1066,0,0,1,0,2,1069
MCNU-GXF4-GXM4-18,,Cable 4 pines 18mt mobile,DAHUA,"14,00","16,00","19,00",21,20,0,0,0,0,0,20
SM-GX6-RJ45,,Cable adaptador de conect,STREAMAX,"11,93","13,01","14,31",21,52,0,2,0,0,12,66
MCNU-GXF4--GXM4-3,,Cable conversor de 4 pine,DAHUA,"3,54","3,54","3,54",21,1,0,0,0,0,0,1
MC-PF3-B3-4,,Cable de alimentacion par,DAHUA,"4,18","4,18","4,18",21,328,27,0,2,0,3,360
SM-LVDSCABLE,,Cable de conexion de cama,STREAMAX,"0,00","0,00","0,00",21,2,0,0,0,0,0,2
SM-GX6-5M,,Cable de conexion de GX d,STREAMAX,"7,87","8,59","9,45",21,1,2,1,0,0,0,4
SM-GX6-15M,,Cable de conexion de GX d,STREAMAX,"29,46","32,13","35,35",21,0,0,0,0,0,0,0
SM-GX4-5M,,Cable de conexión de GX d,STREAMAX,"11,93","13,01","14,31",21,1,0,3,0,0,3,7
SM-GX4-11M,,Cable de conexión de GX d,STREAMAX,"23,85","26,02","28,62",21,0,0,0,0,0,1,1
SM-GX4-15M,,Cable de conexión de GX d,STREAMAX,"35,78","39,03","42,93",21,0,6,0,0,0,1,7
AE-MC0201-2,,Cable de interconexión pa,HIKVISION,"8,70","14,00","17,00",21,0,0,0,0,0,0,0
MC-AF4-AM4-6,,Cable extensión aviador 4,DAHUA,"4,13","4,13","4,13",21,408,0,0,4,0,9,421
MC-AF4-AM4-18,,Cable extensión aviador 4,DAHUA,"7,08","7,08","7,08",21,0,0,0,0,0,0,0
MC-AF6-AM6-18,,Cable extension Aviador M,DAHUA,"20,65","20,65","20,65",21,446,0,0,0,0,6,452
SM-LVDS-2M,,Cable extension LVDS 4 pi,STREAMAX,"11,81","12,88","14,17",21,197,0,0,0,0,0,197
8PIN-SIGNAL-CABLE,,Cable extension para R-Wa,STREAMAX,"9,35","10,20","11,22",21,39,0,0,0,0,4,43
GX4-12,,Cable GX 4 Pines 12m,DAHUA,"7,08","7,08","7,08",21,0,5,0,0,0,4,9
GX4-18,,Cable GX 4 Pines 18m,DAHUA,"10,62","10,62","10,62",21,7,100,0,1,0,9,117
GX4-3,,Cable GX 4 Pines 3m,DAHUA,"3,54","3,54","3,54",21,0,0,0,0,0,2,2
SM-GX4-9M,,Cable GX 4 pines AHD 9m,STREAMAX,"19,08","20,82","22,90",21,0,0,0,0,0,2,2
SM-GX6-11M,,Cable GX 6 pines 11m,STREAMAX,"19,32","21,08","23,18",21,1,0,0,0,0,5,6
MC-AF7-AM7-4,,Cable para moviles 7 pine,DAHUA,"6,88","6,88","6,88",21,20,0,0,0,0,0,20
WIRE-RWTOADP2,,Cable R-WATCH a AD PLUS 2,STREAMAX,"19,08","20,82","22,90",21,6,0,0,0,0,0,6
SM-H5-SERIALCABLE,,CABLE SERIAL PARA H5-0401,STREAMAX,"11,93","13,01","14,31",21,27,0,0,0,0,0,27
T1CABLE-10PA16P,,Cable tipo 1 OBD para ADP,STREAMAX,"11,93","13,01","14,31",21,94,0,0,0,0,2,96
T2CABLE-10PA16P,,Cable Tipo 2 OBD,STREAMAX,"11,93","13,01","14,31",21,77,0,0,0,0,4,81
USB-transfer-cable,,Cable USB Data Transfer,STREAMAX,"7,16","7,81","8,59",21,9,0,0,0,0,0,9
CA53TOCA51,,Extension cable CA53 to C,STREAMAX,"28,05","30,60","33,66",21,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
MOVILES,,CAMARAS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
AE-VC224T-IT-0280-MIRROR,,1080P 1/2.9”CMOS infrared,HIKVISION,"47,20","73,00","85,00",21,0,0,0,0,0,0,0
CA51A,,1080P AHD 1.9mm with  cas,STREAMAX,"79,00","102,00","120,00",21,10,0,0,0,0,0,10
AE-VC211T-IRS-0280,,1080P IR hemispherical an,HIKVISION,"76,00","116,00","135,00",21,60,0,0,0,0,19,79
HAC-HUM1220GP-M-0360B,,2MP 3.6 HDCVI Mobile,DAHUA,"7,08","7,08","7,08",21,30,0,0,4,0,0,34
SM-CA20S-28,,2MP AHD 2.8 Mobile,STREAMAX,"86,40","94,26","103,68",21,4,0,1,0,0,3,8
SM-REARCAM-28,,2MP AHD IR Vehicle,STREAMAX,"56,11","61,21","67,33",21,56,0,2,0,0,0,58
SM-MINIC24-D-36,,2MP AHD Mobile Lat Der,STREAMAX,"74,81","81,61","89,77",21,46,0,1,0,0,5,52
SM-MINIC24-I-36,,2MP AHD Mobile Lat Izq,STREAMAX,"74,81","81,61","89,77",21,44,0,1,0,0,5,50
IPC24M-A,,2MP IR Lat Der,STREAMAX,"25,00","25,00","25,00",21,200,0,0,0,0,0,200
AE-VA236A-010,,2MP Low Illumination Arou,HIKVISION,"54,00","87,00","109,00",21,0,0,0,0,0,0,0
DAE-CPC5241FPN-M12-0280B,,2MP Mobile 2.8mm Dome wit,DAHUA,"108,76","108,76","108,76",21,40,0,0,0,0,0,40
HAC-HMW3200DP-H-0280B-S5,,2MP Mobile HDCVI IR Cube,DAHUA,"30,29","30,29","30,29",21,10,0,0,0,0,0,10
HAC-HMW3200DP-V-0280B-S5,,2MP Mobile HDCVI IR Cube,DAHUA,"30,29","30,29","30,29",21,13,0,0,0,0,0,13
AE-VC143T-ITS-0210-020-BMWHEAD,,720P 1/2.9” IR array cyli,HIKVISION,"36,60","52,70","59,30",21,38,0,0,0,0,0,38
A6-210F,,A6 - Anti explosion camer,STREAMAX,"130,91","142,81","157,09",21,1,0,0,0,0,0,1
B2-RIGHT,,BSD Sound and light alarm,STREAMAX,"56,11","61,21","67,33",21,5,0,0,0,0,0,5
B2-LEFT,,BSD Sound and light alarm,STREAMAX,"56,11","61,21","67,33",21,5,0,0,0,0,0,5
946C24,,C24- IP1080-4mm - F-R-S i,STREAMAX,"211,33","230,54","253,60",21,5,0,0,0,0,0,5
946C25,,C25 - IPC Cabin Camera 10,STREAMAX,"102,86","112,21","123,43",21,5,0,0,0,0,0,5
CA39,,CA39 -1080P AHD Camera ou,STREAMAX,"74,81","81,61","89,77",21,5,0,0,0,0,0,5
CA51,,CA51 1080PIR- 1.9mm- outs,STREAMAX,"75,00","98,00","114,00",21,2,0,0,0,0,0,2
HAC-HDBW3200FP-M-0280B-S5,,Cam mobile HDCVI domo 2Mp,DAHUA,"33,04","33,04","33,04",21,774,0,2,0,0,7,783
CA20S,,Camara ADAS AI 1080P AHD,STREAMAX,"121,56","132,61","145,87",21,57,0,0,0,0,0,57
C20D,,Camara ADAS doble lente,STREAMAX,"261,82","285,63","314,19",21,2,0,0,0,0,0,2
AE-VC154T-IT-060,,Camara DSM 720 moviles Hi,HIKVISION,"55,00","88,00","110,00",21,0,0,0,0,0,0,0
CA29M,,Camara DSM AHD 720P IP,STREAMAX,"149,61","163,22","179,54",21,5,0,0,0,0,0,5
C29N,,Camara DSM IP 1280x800 PO,STREAMAX,"158,96","173,42","190,76",21,6,0,0,0,0,0,6
C6D AI-M,,Camara frontal dashcam pa,STREAMAX,"583,49","636,54","700,19",21,40,0,0,0,0,0,40
HAC-HMW3200P-0280B-S5,,Cámara HDCVI 2 MP Lente,DAHUA,"33,04","33,04","33,04",21,1,0,0,0,0,0,1
HAC-HMW3200P-0210B-S5,,Cámara HDCVI 2 MP Lente,DAHUA,"33,04","33,04","33,04",21,3,0,0,0,0,3,6
HAC-HMW3200P-0280B,,Camara HDCVI 2Mpx 2.8mm p,DAHUA,"23,60","23,60","23,60",21,1,0,0,0,0,0,1
HAC-HMW3200P-0360B,,Cámara HDCVI Domo 2Mpx 3.,DAHUA,"23,60","23,60","23,60",21,0,0,0,0,0,1,1
HAC-HDBW2231F-M,,Camara HDCVI Domo 2Mpx Mo,DAHUA,"48,18","48,18","48,18",21,20,2,0,0,0,0,22
HAC-HMW3200LP-0210B,,Cámara HDCVI p/vehiculos,DAHUA,"23,60","23,60","23,60",21,1,0,0,0,0,0,1
CL29M,,Camara interior para DSM,STREAMAX,"90,61","98,85","108,73",21,191,0,0,0,0,0,191
SM-MINIDOMO-28,,Cámara vehicular interior,STREAMAX,"44,88","48,96","53,86",21,75,0,0,1,0,9,85
P3-HOST,,Camara/Host p/conteo pers,STREAMAX,"282,40","308,07","338,88",21,4,0,1,0,0,0,5
HAC-HDBW2241FP-M-A-0280B,,Domo movil HDCVI 2 mpx IP,DAHUA,"48,18","48,18","48,18",21,1,0,0,0,0,0,1
MPTZ1100-2030RA-NT,,Domo PTZ Vehiculos 2Mpx 3,DAHUA,"894,83","894,83","894,83",21,0,1,0,0,0,0,1
AE-VC1B1I-ISF-060,,DSM camera,HIKVISION,"412,00","537,00","745,00",21,0,0,0,0,0,0,0
CA2,,Fixed dome 1080P-audio- I,STREAMAX,"65,46","71,41","78,55",21,13,0,0,0,0,0,13
DAE-CFM5210-CYP,,Front-view Monitoring  AD,DAHUA,"41,30","41,30","41,30",21,5,0,0,0,0,0,5
IPC-HDBW3231FP-M-DAE-0280B,,IPC 2MP Mic IK10 OUTLET,DAHUA,"38,00","38,00","38,00",21,267,0,0,0,0,0,267
AE-VC259T-0210-UPPERWIRE,,IR Waterproof Mobile Came,HIKVISION,"46,60","67,20","75,50",21,26,0,0,0,0,0,26
IPC-HDBW4231F-M12,,Minidomo Anti bandal Veh,DAHUA,"33,04","33,04","33,04",21,26,0,0,0,1,0,27
