,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SWITCH,,MODULOS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
CY-SMG201MD-LC-550M,,1.25Gb Multi LC SFP 550M,CYGNUS,"14,40","14,40","0,00",21,180,0,0,0,0,12,192
CY-SMG201SD-LC-20KM,,1.25Gbps Dual LC SFP 20KM,CYGNUS,"11,50","11,50","0,00",21,190,0,0,0,0,10,200
CY-SMG201SS-LC-20KM,,1.25Gbps Mono LC SFP 20KM,CYGNUS,"27,00","27,00","27,00",21,169,0,0,0,0,10,179
CY-SMG201SS-LC-3KM,,1.25Gbps Mono LC SFP 3KM,CYGNUS,"23,00","23,00","23,00",21,174,0,0,0,0,10,184
CY-SMG201SS-SC-20KM,,1.25Gbps Mono SC SFP 20KM,CYGNUS,"29,00","29,00","29,00",21,200,0,0,0,0,0,200
CY-SMG201SS-SC-3KM,,1.25Gbps SC Mono SFP 3KM,CYGNUS,"26,00","26,00","26,00",21,190,0,0,0,0,0,190
CY-SMT201SD-LC-20KM,,10Gb Dual LC SFP 20KM,CYGNUS,"25,00","25,00","0,00",21,90,0,0,0,0,10,100
CY-SMT201MD-LC-300M,,10Gb Multi LC SFP 300M,CYGNUS,"21,00","21,00","0,00",21,100,0,0,0,0,0,100
CY-SFP-RJ45-10G,,10Gb RJ45 SFP,CYGNUS,"50,00","60,00","65,00",21,99,0,0,0,0,0,99
CY-SFP-RJ45-1G,,RJ45 1Gbps SFP,CYGNUS,"16,00","19,00","22,00",21,488,0,0,0,0,10,498
,,,,,,,,,,,,,,
SWITCH,,DAHUA,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
TSFP-850-MMF,,10 Gigabit Optical Module,DAHUA,"56,64","56,64","56,64",21,80,0,0,0,10,0,90
PFS3111-8ET-96-F,,11Ports/4PoE Unmanaged,DAHUA,"61,36","61,36","61,36","10,5",83,5,0,0,0,4,92
PFS3117-16ET-135,,16-Port FE PoE+1Gb Switch,DAHUA,"131,11","131,11","131,11","10,5",118,0,0,2,0,5,125
PFS4218-16ET-190-V3,,16P 100M + 2 Gigabit L2,DAHUA,"162,58","162,58","162,58","10,5",151,0,0,0,0,3,154
PFS4018-16P-250,,16P PoE Managed L2,DAHUA,"118,00","118,00","118,00","10,5",0,0,0,0,0,0,0
PFS4218-16GT-240,,16PoE Gb L2 Switch Dahua,DAHUA,"238,62","238,62","238,62","10,5",41,0,0,0,0,2,43
PFS3220-16GT-240-V2,,16PoE Unmanaged Switch,DAHUA,"199,87","199,87","199,87","10,5",19,0,0,0,0,1,20
PFS3218-16ET-135,,16PoE+2GB Unmanaged,DAHUA,"137,21","137,21","137,21","10,5",63,0,0,2,0,3,68
S5500-24GF4XF-E-V2,,24 SFP+8 RJ45 Managed L3,DAHUA,"902,64","902,64","902,64","10,5",1,0,0,0,0,0,1
PFS3226-24ET-240,,24PoE+2SFP Unmanaged,DAHUA,"155,56","155,56","155,56","10,5",43,0,0,0,0,6,49
PFS4226-24ET-240-V3,,24Port 100M PoE+2 Gb,DAHUA,"197,98","197,98","197,98","10,5",21,0,0,0,0,2,23
PFS4226-24GT-370,,26-Port Managed Gigabit,DAHUA,"308,11","308,11","308,11","10,5",4,0,0,0,0,0,4
PFS4204-2GT-DP-V2,,4P 2PoE L2 Industrial,DAHUA,"137,67","137,67","137,67","10,5",58,1,0,0,0,4,63
PFS3206-4P-96,,4P PoE 1SFP Unmanaged L2,DAHUA,"53,10","53,10","53,10","10,5",6,426,0,0,0,5,437
PFS3206-4P-120,,4P PoE 1SFP Unmanaged L2,DAHUA,"48,38","48,38","48,38","10,5",299,16,0,2,0,8,325
PFS4206-4P-96,,4P PoE Managed L2,DAHUA,"69,62","69,62","69,62","10,5",60,0,0,0,0,3,63
PFS3006-4GT-60-V2,,4PoE+2 Gb 60W HiPoe,DAHUA,"37,76","37,76","37,76","10,5",0,0,0,1,0,1,2
PFS3006-4ET-60-V2,,4PoE+2FE  Unmanaged,DAHUA,"29,50","29,50","29,50","10,5",23,56,1,5,0,5,90
PFS3005-4ET-60-V2,,5P 4PoE Unmanaged,DAHUA,"26,05","31,23","31,23","10,5",2,0,18,0,0,0,20
PFS3005-5GT-L-V2,,5P Unmanaged Gigabit,DAHUA,"7,15","7,82","7,82","10,5",0,85,0,1,6,8,100
PFS3008-8GT-L-V2,,8-Port Unmanaged Gigabit,DAHUA,"12,04","12,04","12,04","10,5",172,75,0,4,2,8,261
PFS3008-8ET-60-V2,,8P 4PoE 60w Dahua,DAHUA,"34,22","34,22","34,22","10,5",88,862,3,5,3,9,970
PFS3008-8GT-60-V2,,8P GB 4PoE Unmanaged,DAHUA,"44,84","44,84","44,84","10,5",112,28,4,0,0,7,151
PFS3110-8T,,8P Industrial Unmanaged,DAHUA,"62,64","81,44","93,65","10,5",404,41,0,0,0,0,445
PFS4210-8GT-150,,8P PoE Gigabit L2,DAHUA,"123,90","123,90","123,90","10,5",266,0,0,0,0,2,268
PFS3010-8ET-96-V2,,8PoE + 2  Unmanaged,DAHUA,"50,98","61,10","61,10","10,5",0,0,1,1,1,0,3
PFS3008-8GT-96-V2,,8PoE Gb+1 HiPoe Unmanaged,DAHUA,"55,46","55,46","55,46","10,5",99,20,0,7,0,0,126
PFS3110-8ET-96-V2,,8PoE+2Gb Unmanaged,DAHUA,"67,97","81,47","81,47","10,5",0,3,0,0,0,4,7
PFS3409-4GT-V2,,9-Port Gigabit Unmanaged,DAHUA,"73,16","73,16","73,16","10,5",23,4,0,0,0,5,32
PFS3409-4GT-96-V2,,9P 4PoE Unmanaged,DAHUA,"94,40","94,40","94,40","10,5",73,10,1,0,0,5,89
PFS3009-8ET1GT-96-V2,,9P Unmanaged Desktop,DAHUA,"46,02","46,02","46,02","10,5",46,639,0,0,0,6,691
AC12,,AC1200 Wireless Router,DAHUA,"24,00","24,00","24,00","10,5",43,0,0,3,5,5,56
GSFP-1310T-20-SMF,,Gigabit SFP Mono Mode,DAHUA,"25,96","25,96","25,96",21,7,0,0,0,0,3,10
GSFP-1310R-20-SMF,,Gigabit SFP MonoMode,DAHUA,"25,96","25,96","25,96",21,0,0,0,0,5,2,7
GSFP-850-MMF,,Gigabit SFP Multimode,DAHUA,"18,88","18,88","18,88",21,64,0,0,0,20,14,98
PFS3102-1T,,MediaConverter Industrial,DAHUA,"28,44","28,44","28,44","10,5",133,6,0,0,4,9,152
N3,,N300 WiFi Router OUTLET,DAHUA,"9,50","9,50","9,50","10,5",8,8,0,1,4,8,29
,,,,,,,,,,,,,,
SWITCH,,OUTLET,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
IS4410-6GT-120,,10P 6PoE Indus OUTLET,DAHUA,"288,44","288,44","288,44","10,5",75,0,0,0,0,4,79
IS4420-16GT-240,,16 PoE+4 SFP OULET,DAHUA,"390,00","390,00","390,00","10,5",60,0,0,0,0,1,61
LR2218-16ET-240-V2,,18P FE PoE Manag OUTLET,DAHUA,"209,78","209,78","209,78","10,5",17,0,0,0,0,2,19
PFS4428-24GT-370,,24 PoE Gb Managed OUTLET,DAHUA,"335,26","335,26","335,26","10,5",79,4,0,0,0,2,85
LR2226-24ET-360-V2,,26P/16P PoE Manag OUTLET,DAHUA,"258,29","258,29","258,29","10,5",16,0,0,0,0,0,16
PFS3228-24GT-360-V2,,28-Port Gb Switch OUTLET,DAHUA,"266,16","266,16","266,16","10,5",60,0,0,0,0,2,62
