,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
IP NVR,,OUTLET,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
NVR608RH-128-XI,,128 Ch 2U 8HDDs OUTLET,DAHUA,"2120,00","2120,00","3050,00",21,5,0,0,0,0,0,5
NVR616DRH-128-XI,,128CH 3U 16HDDs OUTLET,DAHUA,"3280,00","3280,00","4200,00",21,1,0,0,0,0,0,1
NVR4416-EI,,16CH 1.5U 4HDDs OUTLET,DAHUA,"170,00","170,00","170,00",21,0,0,1,0,0,0,1
NVR4216-16P-4KS2-L,,16Ch 2HDD NVR OUTLET,DAHUA,"150,00","150,00","150,00",21,0,0,0,0,0,1,1
NVR608H-32-XI,,32CH 2U 8HDD OUTLET,DAHUA,"1290,00","1290,00","1590,00",21,2,0,0,0,0,0,2
NVR608H-64-XI,,64CH 2U 8HDD OUTLET,DAHUA,"1650,00","1650,00","1650,00",21,9,0,0,0,0,0,9
NVR608H-128-XI,,NVR 128Ch 2U 8HDDs OUTLET,DAHUA,"1730,00","1730,00","2950,00",21,6,0,0,0,0,0,6
NVR2116HS-S3,,NVR 16 Ch 1U 1HDD OUTLET,DAHUA,"75,00","75,00","75,00",21,0,0,0,1,0,0,1
NVR301-16E,,NVR 16Ch 1HDD OUTLET,UNIVIEW,"35,00","35,00","48,00",21,2,0,0,0,0,0,2
NVR5216-8P-I-L,,NVR 16ch 8PoE 2HDD OUTLET,DAHUA,"390,00","390,00","620,00",21,10,4,0,0,0,1,15
NVR4116HS-8P-4KS2-L,,NVR 16ch 8PoE OUTLET,DAHUA,"129,00","129,00","129,00",21,0,0,1,3,0,0,4
NVR4232-4KS2L,,NVR 32Ch 8Mpx 2HDD OUTLET,DAHUA,"129,80","129,80","129,80",21,0,0,0,0,0,1,1
NVR1104HS-S3-H,,NVR 4ch 1 HDD OUTLET,DAHUA,"34,00","34,00","34,00",21,1,0,0,0,0,1,2
NVR1104HS-P-S3-H,,NVR 4ch PoE OUTLET,DAHUA,"53,10","53,10","53,10",21,0,0,0,1,0,0,1
NVR7264,,NVR 64CH 2HDD  OUTLET,DAHUA,"59,00","59,00","59,00",21,1,0,0,0,0,0,1
NVR301-08S,,NVR 8Ch 1Hdd OUTLET,UNIVIEW,"24,00","24,00","38,00",21,0,0,0,0,0,2,2
NVR1B08HS-L-EZIP,,NVR 8Ch H.265 OUTLET,DAHUA,"12,00","12,00","12,00",21,0,0,1,0,0,0,1
NVR1108HS-S3-H,,NVR 8ch Lite OUTLET,DAHUA,"37,00","37,00","37,00",21,0,0,0,1,0,0,1
NVR1108HS-8P-S3-H,,NVR 8ch PoE OUTLET,DAHUA,"55,00","55,00","55,00",21,0,0,0,1,0,0,1
,,,,,,,,,,,,,,
IP NVR,,HIK 16CH,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
