,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
XVR,,16CH,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
CY-XVR7216-I,,16-24CH XVR 2HDD CYGNUS,CYGNUS,"109,00","260,00","299,00",21,83,12,0,0,0,1,96
XVR7216-RS,,Grabador fivebrid de 16+8,CYGNUS,"72,80","94,64","108,84",21,4,9,0,0,0,0,13
CY-XVR6116-I,,XVR 16CH Motion Detect ,CYGNUS,"79,00","94,20","118,00",21,108,658,1,31,3,3,804
,,,,,,,,,,,,,,
XVR,,HIK 16CH,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
iDS-7216HQHI-M2-FA-C,,16-ch 1080p 1.5U 2HDD,HIKVISION,"266,00","429,00","532,00",21,186,0,0,0,0,3,189
iDS-7216HUHI-M2-XT,,16-ch 5 MP AcuSense DVR,HIKVISION,"505,00","815,00","1011,00",21,16,0,0,0,0,1,17
iDS-7216HQHI-M1-E-C,,16ch 1080p AcuSense DVR,HIKVISION,"224,00","361,00","447,00",21,47,2,0,0,0,3,52
DS-7216HGHI-M1-C,,16ch 720p 1U DVR,HIKVISION,"92,00","129,00","153,00",21,0,0,0,0,0,0,0
IDS-7216HQHI-M1-XT,,16ch AcuSens1080P 1U 1HDD,HIKVISION,"248,00","399,00","495,00",21,1,0,0,0,2,0,3
iDS-7216HQHI-M1-FA-C,,16Ch AcuSense 1080p 1HDD,HIKVISION,"240,00","387,00","479,00",21,246,2,0,3,1,2,254
IDS-7216HQHI-M1-E,,DVR 16ch AcuSense 1HDD,HIKVISION,"224,00","361,00","447,00",21,8,0,0,0,0,1,9
IDS-7216HQHI-M2-XT,,DVR 16ch AcuSense 2HDD,HIKVISION,"274,00","442,00","548,00",21,4,0,0,0,2,1,7
,,,,,,,,,,,,,,
XVR,,OUTLET,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
XVR5116HE-I3,,16Ch XVR 1HDD OUTLET,DAHUA,"75,00","75,00","75,00",21,1,0,0,0,0,0,1
