,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PORTERIA,,HIK EXTERIOR,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
DS-KV8113-WME1-C,,1 Boton Estacion Exterior,HIKVISION,"142,00","201,00","235,00",21,34,0,0,0,0,5,39
DS-KV6113-PE1-C,,1 Boton Station Plastic,HIKVISION,"102,00","144,00","168,00",21,1,0,0,0,0,0,1
DS-TMT1A0,,2M Video-intercom,HIKVISION,"409,00","533,00","740,00",21,0,0,0,0,0,0,0
DS-KV8413-WME1-C,,4 Botones Estacion,HIKVISION,"165,00","234,00","273,00","10,5",19,0,0,0,0,1,20
DS-KB8113-IME1-B,,Door Station IK10,HIKVISION,"102,00","144,00","168,00",21,7,0,0,3,0,1,11
DS-KD9403-E6,,Face Recognition Station,HIKVISION,"812,00","1307,00","1634,00","10,5",16,0,0,0,0,1,17
DS-KD9633-E6,,Face Recognition Station,HIKVISION,"868,00","1279,00","1599,00","10,5",2,0,0,0,0,0,2
DS-KD9203-E6,,Face Recognition Station,HIKVISION,"326,00","525,00","656,00","10,5",1,0,0,0,0,0,1
DS-KD9203-ME6,,Face Recognition Station,HIKVISION,"361,00","582,00","727,00","10,5",0,0,0,0,1,1,2
DS-PEAP-CVSA1E-B,,Panic Video Intercom,HIKVISION,"607,00","773,00","1073,00",21,0,0,0,0,0,0,0
,,,,,,,,,,,,,,
PORTERIA,,DAHUA,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
VTO2211G-WP,,1 button station wifi,DAHUA,"97,50","117,00","117,00",21,0,1,0,0,0,0,1
VTO2311R-WP,,1 button station wifi,DAHUA,"82,13","89,83","89,83","10,5",0,0,0,0,0,1,1
DB10,,Battery Video Doorbell,DAHUA,"23,60","23,60","23,60",21,1,0,0,5,0,2,8
VTOB110,,Caja aluminio para VTO121,DAHUA,"35,40","35,40","35,40",21,9,6,0,0,0,0,15
VTOB107,,Caja de embutir para VTO2,DAHUA,"10,62","10,62","10,62",21,110,5,0,0,1,3,119
VTOB102,,Caja plastica para VTO121,DAHUA,"10,62","10,62","10,62",21,56,0,0,0,0,0,56
VTOB103,,Caja plastica para VTO121,DAHUA,"10,62","10,62","10,62",21,52,6,0,0,0,0,58
DEE1010B,,Expansor para VTO,DAHUA,"5,90","5,90","5,90",21,0,2,0,0,0,4,6
