,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
IP CAMARAS,,WIRELESS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
IPC-F26FEP,,1080P WiFi OUTLET,IMOU,"32,00","32,00","32,00",21,27,10,0,2,0,26,65
DS-2CV1021G0-IDW1-0280-D,,2 MP Outdoor 2.8mm Mic Bu,HIKVISION,"33,60","49,00","60,00",21,0,0,0,0,1,0,1
DS-2CV2021G2-IDW-0280-D,,2 MP Outdoor Audio 2.8mm ,HIKVISION,"57,00","83,00","102,00",21,5,0,0,0,0,0,5
DS-2DE2C200MWG-W-0280,,2 MP Smart Hybrid PROMO,HIKVISION,"30,53","45,00","54,75",21,41,0,0,0,0,2,43
IPC-A22EP-L-V2,,2 MP Wifi PT OUTLET,IMOU,"16,00","16,00","16,00",21,0,0,0,1,0,0,1
CY-A1,,2Mp IPC Home Wifi CYGNUS,CYGNUS,"16,30","20,00","24,00",21,1643,57,0,13,0,18,1731
DS-2CV1023G2-LIDWF-0280-B,,2MP Outdoor Wi-Fi PROMO,HIKVISION,"20,93","30,75","36,75",21,1,0,0,0,7,0,8
CY-B1-0280,,2MP WiFi Bullet CYGNUS,CYGNUS,"24,80","31,00","35,50",21,183,30,0,3,4,18,238
H3A,,3MP Indoor Fixed-focal Wi,DAHUA,"17,70","17,70","17,70",21,0,0,0,21,3,0,24
C3A,,3MP Indoor Wi-Fi Cube IPC,DAHUA,"17,68","20,80","23,92",21,0,0,0,2,3,0,5
CY-P1,,3MP PT WIFI CYGNUS,CYGNUS,"30,00","36,50","43,00",21,729,34,1,2,0,16,782
DS-2CV1F43G2-LIDWF-0280-B,,4 MP Indoor Wi-Fi PROMO,HIKVISION,"26,18","38,25","47,25",21,90,0,0,0,10,13,113
DS-2DE2C400MWG-W-0280,,4 MP Smart Hybrid PROMO,HIKVISION,"33,15","48,75","59,25",21,135,0,0,0,0,4,139
IPC-HFW1430DSP-SAW-0280B,,4MP IR Fixed-focal Wi-Fi ,DAHUA,"39,00","55,00","66,70",21,0,0,0,0,6,0,6
IPC-A42P-L-V2,,4MP Wifi PT CAM OUTLET,IMOU,"24,00","24,00","24,00",21,2,19,0,11,0,26,58
DS-2XS6F45G1-IC1-4G-0280,,4MP Wildlife  Camera + PI,HIKVISION,"0,00","0,00","0,00",21,0,0,0,0,0,0,0
H5B,,5MP Indoor Fixed-focal Wi,DAHUA,"29,50","29,50","29,50",21,0,0,0,0,10,0,10
C5A,,5MP Indoor Wi-Fi Cube IPC,DAHUA,"23,60","23,60","23,60",21,0,0,0,0,10,6,16
IPC-F22FEP,,Bullet 2 2MP OUTLET,IMOU,"22,00","22,00","22,00",21,0,12,2,6,0,0,20
IPC-F42FEP-D,,Bullet 2 4M,IMOU,"24,00","24,00","24,00",21,1,0,0,0,0,1,2
IPC-F46FEP-D,,Bullet 2 Pro 4MPX - 4MP H,IMOU,"65,00","69,00","69,00",21,0,0,0,0,0,8,8
IPC-F22P,,Bullet 2C 1080P IMOU,IMOU,"26,00","26,00","26,00",21,0,0,1,0,0,0,1
IPC-F42P-D,,Bullet 2C 4MP,IMOU,"24,00","24,00","24,00",21,1,0,0,0,0,0,1
IPC-F22P-D,,Bullet 2C IMOU,IMOU,"26,00","34,00","39,00",21,0,0,0,0,0,11,11
IPC-F22FP,,Bullet 2E,IMOU,"25,00","30,00","45,00",21,0,0,0,0,0,0,0
IPC-K3DP-3H0WF,,Bullet 2E 3MP IMOU,IMOU,"24,00","26,00","29,00",21,0,0,0,0,0,0,0
IPC-F42FP,,Bullet 2E 4MP IMOU,IMOU,"24,00","24,00","24,00",21,1,0,1,0,0,0,2
IPC-K3DP-5H0WF,,Bullet 2E 5MP,IMOU,"33,00","41,00","46,00",21,0,0,0,0,0,4,4
IPC-F46FP,,Bullet 2S 4MP,IMOU,"76,68","83,65","92,01",21,1,0,0,0,0,0,1
IPC-S3EP-3M0WE,,Bullet 3 3MP OUTLET,IMOU,"37,00","37,00","37,00",21,306,12,0,87,0,32,437
IPC-S3EP-5M0WE,,Bullet 3 5MP OUTLET,IMOU,"42,00","42,00","42,00",21,185,30,9,28,0,38,290
IPC-HFW1235SP-W-0280B-S2,,Bullet IP Wi-Fi 2Mpx IR 3,DAHUA,"41,30","41,30","41,30",21,3,0,2,0,5,0,10
IPC-HFW1435SP-W-0280B-S2,,Bullet IP Wi-Fi 4Mpx H.26,DAHUA,"67,34","87,54","100,67",21,2,0,0,0,0,2,4
IPC-F32MIP,,Bullet pro 3MPX Wifi,IMOU,"45,00","45,00","45,00",21,1,22,0,1,0,6,30
IPC-F52MIP,,Bullet Pro 5MPX Wifi,IMOU,"65,46","71,41","78,55",21,0,1,0,0,0,4,5
IPC-C22P,,Camara IP 2Mpx Gota H.264,DAHUA,"11,80","11,80","11,80",21,0,0,0,0,0,2,2
IPC-GS7EP-3M0WE,,Cruiser 2 3MP,IMOU,"72,94","79,57","87,52",21,1,0,0,0,0,0,1
IPC-S22FP,,Cruiser 2MP OUTLET,IMOU,"25,00","25,00","25,00",21,0,0,4,0,0,0,4
IPC-S42FP-D,,Cruiser 4MP,IMOU,"75,56","82,42","90,67",21,2,0,0,0,0,2,4
IPC-S42FP,,Cruiser 4MP,IMOU,"55,00","55,00","84,00",21,0,1,0,5,6,12,24
IPC-S7XEP-10M0WED,,Cruiser Dual 10MP - 5+5 I,IMOU,"67,00","82,00","97,00",21,0,0,0,0,0,0,0
IPC-S7XP-10M0WED,,Cruiser Dual 2 10MP 5+5 I,IMOU,"65,00","79,00","93,00",21,0,0,0,0,0,0,0
IPC-S7XP-6M0WED,,Cruiser Dual 2 3+3MP IMOU,IMOU,"58,00","72,40","85,00",21,0,4,0,0,0,0,4
IPC-S7XEP-6M0WED,,Cruiser Dual 6MP - 3+3 Im,IMOU,"60,70","75,00","88,00",21,0,0,0,0,0,0,0
IPC-K7FP-3H0WE,,Cruiser SC 3MP OUTLET,IMOU,"30,00","30,00","30,00",21,4,0,0,0,3,0,7
IPC-K7FP-5H0WE,,Cruiser SC 5MP OUTLET,IMOU,"37,00","37,00","37,00",21,3,0,0,2,1,0,6
IPC-S21FP,,Cruiser SE 2MP OUTLET,IMOU,"25,00","25,00","25,00",21,1,0,0,0,0,0,1
IPC-S41FP,,Cruiser SE 4MP,IMOU,"54,24","59,17","65,08",21,14,1,0,0,0,0,15
IPC-S21FEP,,Cruiser SE+ 1080P OUTLET,IMOU,"25,00","25,00","25,00",21,0,0,0,0,0,0,0
IPC-S41FEP,,Cruiser SE+ 4MP - Wi-Fi P,IMOU,"54,24","59,17","65,08",21,0,0,0,0,0,0,0
IPC-K42P,,Cubo IP Wi-Fi 4Mpx OUTLET,DAHUA,"23,60","23,60","23,60",21,49,0,0,0,0,0,49
IPC-C22EP-A,,CUE 2 - 1080P OUTLET,IMOU,"13,50","13,50","13,50",21,0,0,0,0,0,0,0
IPC-C22EP-D,,CUE 2 2MP,IMOU,"13,50","13,50","13,50",21,0,0,0,0,4,0,4
IPC-C22CP-D,,CUE 2C 2Mp OUTLET,IMOU,"13,50","13,50","13,50",21,0,6,0,27,30,1,64
IPC-C22SP,,CUE 2E OUTLET,IMOU,"13,50","13,50","13,50",21,0,12,0,1,2,0,15
IPC-D52MIP,,Dome Pro 5MPX Wifi OUTLET,IMOU,"44,00","44,00","44,00",21,0,5,0,4,0,3,12
IPC-HDBW1435EP-W-0280B-S2,,Domo antivandalico IP Wi-,DAHUA,"46,02","46,02","46,02",21,1,0,0,0,2,0,3
IPCHDBW1320EP-W-0360B,,Domo IP antiv 3Mpx WIFI l,DAHUA,"14,16","14,16","14,16",21,0,0,0,0,0,1,1
IPC-L26P,,Floodligth Cam,IMOU,"168,32","183,62","201,98",21,1,3,0,0,0,0,4
IPC-B32P-V2,,Imou Cell Go OUTLET,IMOU,"49,00","49,00","52,00",21,1,3,0,1,1,0,6
IPC-F2CP-PV-0360B,,IPC 2MP Wi-Fi OUTLET,DAHUA,"29,00","29,00","32,00",21,164,0,0,12,4,20,200
IPC-HFW1430DTP-STW-0280B,,IPC 4 MP IR OUTLET ,DAHUA,"34,00","34,00","34,00",21,0,0,0,0,1,0,1
IPC-HDBW1430DEP-SW-0280B,,IPC 4MP IR WiFi OUTLET,DAHUA,"29,00","29,00","29,00",21,1,0,0,6,0,0,7
IPC-F4CP-PV-0280B,,IPC 4MP Wi-Fi OUTLET ,DAHUA,"38,00","38,00","38,00",21,0,0,0,8,0,0,8
IPC-HFW1320SP-W-0280B,,IPC Bullet IR 3Mpx WIFI l,DAHUA,"23,60","23,60","23,60",21,0,0,0,0,0,2,2
IPC-HFW1320SP-W-0360B,,IPC Bullet IR 3Mpx WIFI l,DAHUA,"23,60","23,60","23,60",21,0,0,1,0,0,0,1
IPC-C35P,,IPC Dahua 3Mpx WiFi (no i,DAHUA,"11,80","11,80","11,80",21,0,0,1,0,0,3,4
IPC-2WI-M,,IPC Wifi 2 mpx2.8mm IR10m,CYGNUS,"21,00","26,00","29,00",21,124,5,0,0,5,6,140
IPC-F88FIP-V2,,Knight - 4K Wi-Fi 6 Smart,IMOU,"168,32","183,62","201,98",21,0,3,3,0,0,3,9
IPC-C26EP-V2,,LOOC ,IMOU,"78,55","85,69","94,26",21,0,0,1,0,0,0,1
SD1A404XB-GNR-W,,PTZ IP Wi-Fi 4Mpx Starlig,DAHUA,"143,96","143,96","143,96",21,40,5,0,0,0,0,45
IPC-A42P-L,,Ranger 2 - 4MPX OUTLET,IMOU,"25,00","25,00","25,00",21,22,12,0,0,0,25,59
IPC-K2EP-3H1W,,Ranger 2 3MP OUTLET,IMOU,"19,00","19,00","19,00",21,528,24,0,20,1,24,597
IPC-A42P-D,,Ranger 2 4MP OUTLET,IMOU,"29,00","29,00","29,00",21,243,28,1,2,0,17,291
IPC-K2EP-5H2W,,Ranger 2 5MP-H2 OUTLET,IMOU,"22,00","22,00","22,00",21,126,3,0,10,0,25,164
IPC-A22EP-D,,Ranger 2 IMOU OUTLET,IMOU,"14,00","14,00","16,00",21,0,0,0,4,0,0,4
IPC-A22EP-L,,Ranger 2 L -1080P OUTLET,IMOU,"16,00","16,00","16,00",21,0,0,0,0,0,5,5
IPC-TA42P-D,,Ranger 2C 4MP,IMOU,"21,00","21,00","21,00",21,0,5,0,0,19,10,34
IPC-TA22CP-D,,Ranger 2C Imou,IMOU,"16,00","16,00","16,00",21,0,0,0,18,0,0,18
IPC-S2XP-10M0WED,,Ranger Dual 10MP OUTLET,IMOU,"47,00","47,00","47,00",21,3,0,0,10,2,6,21
IPC-S2XP-6M0WED,,Ranger Dual 6M 3+3 OUTLET,IMOU,"39,00","39,00","39,00",21,8,13,0,11,4,10,46
IPC-GK2CP-3C0WR,,Ranger RC 3MP,IMOU,"39,27","42,84","47,13",21,0,5,0,3,0,10,18
IPC-GK2CP-4C0WR,,Ranger RC 4MP,IMOU,"44,88","48,96","53,86",21,29,12,4,0,20,9,74
IPC-GK2CP-5C0WR,,Ranger RC 5MP OUTLET,IMOU,"35,00","35,00","35,00",21,112,9,0,0,0,10,131
IPC-A23P,,Ranger SE 2MP OUTLET,IMOU,"19,00","19,00","19,00",21,105,2764,3,7,3,13,2895
IPC-A43P,,Ranger SE 4MP OUTLET,IMOU,"23,00","23,00","23,00",21,642,15,0,80,13,72,822
IPC-GK2DP-3C0W,,Rex 2D 3MP OUTLET,IMOU,"32,00","32,00","32,00",21,655,63,0,0,0,15,733
IPC-GK2DP-5C0W,,Rex 2D 5MP OUTLET,IMOU,"29,00","29,00","29,00",21,182,0,1,0,5,5,193
IPC-GS2DP-3K0W,,Rex 3D 3MP - IMOU OUTLET,IMOU,"25,00","25,00","25,00",21,147,0,0,30,5,10,192
IPC-GS2DP-5K0W,,Rex 3D 5MP Sense OUTLET,IMOU,"29,00","29,00","29,00",21,31,0,0,30,5,5,71
IPC-A46LP-D,,Rex 4MP WiFi OUTLET,IMOU,"45,00","45,00","45,00",21,514,39,0,0,0,14,567
FSP12,,Solar Panel  imou OUTLET,IMOU,"26,00","26,00","26,00",21,2,0,0,0,1,0,3
IPC-T26EP,,Turret - 1080P OUTLET,IMOU,"47,00","47,00","47,00",21,2,8,0,13,0,21,44
IPC-T22EP,,Turret SE - 1080P H.265 T,IMOU,"48,62","53,04","58,35",21,0,0,2,2,5,0,9
IPC-T42EP,,Turret SE 4MP - H.265 Tur,IMOU,"54,24","59,17","65,08",21,3,5,0,0,0,2,10
IPC-C22FP-C,,Versa 1080P Wi-Fi OUTLET,IMOU,"29,00","29,00","29,00",21,442,2,1,3,0,20,468
IPC-C22FP-C,,Versa 1080P Wi-Fi OUTLET,IMOU,"29,00","29,00","29,00",21,442,2,1,3,0,20,468
,,,,,,,,,,,,,,
IP CAMARAS,,HIK PANORAMICAS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
DS-2CD63C5G1-IVS-129,,12 MP DeepinView Fisheye,HIKVISION,"627,00","1010,00","1263,00",21,0,0,0,0,0,0,0
DS-2CD6944G0-IHS-0280-C,,16 MP 180° PanoVu IPC,HIKVISION,"1962,00","2557,00","3552,00",21,2,0,0,0,0,0,2
DS-2CD2346G2P-ISU-SL-0280-C,,4MP Pano AcuSense,HIKVISION,"134,00","216,00","270,00",21,0,0,0,0,0,1,1
DS-2CD2347G2P-LSU-SL-0280-C,,4Mp Panoramic ColorVu,HIKVISION,"172,00","278,00","347,00",21,8,0,0,0,0,0,8
DS-2CD2T47G2P-LSU-SL-0280-C,,4MP Panoramic ColorVu,HIKVISION,"198,00","319,00","400,00",21,10,0,0,0,0,0,10
DS-2CD6D55G2-IZHS-2880-2,,5-Directional Multisensor,HIKVISION,"1454,00","1896,00","2633,00",21,1,0,0,0,0,0,1
DS-2CD6365G1-IVS-0116,,6 MP DeepinView Fisheye,HIKVISION,"431,00","694,00","867,00",21,10,0,0,0,0,0,10
DS-2CD1T67G2HP-LIUF-SL-0280,,6Mp Dual Lens ColorVu,HIKVISION,"112,00","177,00","212,00",21,30,0,0,0,0,0,30
DS-2CD1367G2HP-LIUF-SL-0280,,6MP Dual Lens ColorVu,HIKVISION,"107,00","168,00","203,00",21,10,0,0,0,0,0,10
