,,,https://www.bigdipper.com.ar,,,info@bigdipper.com.ar,,,,,,,,
"Lista de precios a la fecha: 25/11/2025 -- Precios unitarios expresados en dólares estadounidenses, sin IVA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TERMICAS,,HIK TERMICAS,,,,,,,,,,,,
Código,Imagen Ref.,Descripción,Marca,Partner,Gremio,PMP,IVA %,Stk G. Rodriguez,Stk Ituzaingó,Stk Beccar,Stk Lanús,Stk Mendoza,Stk Almagro,Total
DS-2TD2637-10-QY,,Bi-Spectrum Bullet 10mm,HIKVISION,"2450,00","3946,00","4932,00",21,1,0,0,0,0,0,1
HM-TD5567T-25W,,Bi-spectrum Thermography ,HIKVISION,"13319,00","17362,00","24114,00",21,1,0,0,0,0,0,1
DS-2TD2628-7-QA,,IPC Bullet Termico 7mm + ,HIKVISION,"405,00","623,00","724,00",21,4,0,0,0,0,0,4
DS-2TD1228-2-QA,,IPC Domo Termico 2mm + op,HIKVISION,"431,00","686,00","857,00",21,1,0,0,0,0,0,1
DS-2TD2628T-7-QA,,IPC Termica 7mm-8mm Bulle,HIKVISION,"551,00","848,00","986,00",21,2,0,0,0,0,0,2
DS-2TD2628T-3-QA,,IPC termica Dual 3.6-4mm ,HIKVISION,"551,00","848,00","986,00",21,0,0,0,0,0,0,0
DS-2TD2608-1-QA,,IPC termico + optico Bi e,HIKVISION,"225,00","346,00","403,00",21,4,0,0,0,0,0,4
DS-2TD2637-25-QY,,IPC Thermal 25mm & Opt 12,HIKVISION,"2645,00","4260,00","5325,00",21,14,0,0,0,0,0,14
DS-2TD2138-25-QY,,IPC Thermal 25mm Hikvisio,HIKVISION,"2644,00","4258,00","5323,00",21,0,0,0,0,0,0,0
DS-2TD2637-35-QY-B,,IPC Thermal 35/12mm Bi-sp,HIKVISION,"3935,00","5130,00","7124,00",21,0,0,0,0,0,0,0
DS-2TD2138-35-QY,,IPC Thermal 35mm Bullet H,HIKVISION,"3558,00","4638,00","6441,00",21,1,0,0,0,0,0,1
DS-2TXS2628-10P-QA-GLT-CH36S80,,Solar-powered Thermal Cam,HIKVISION,"1440,80","2150,30","2419,00",21,3,0,0,0,0,0,3
HM-TD2638T-10-G0T1,,Termica Bi-Spectral 10mm,HIKVISION,"2995,00","4824,00","6029,00",21,0,0,0,0,0,0,0
HM-TD2638T-4-G0T1,,Termica Bi-Spectral 4mm,HIKVISION,"2721,00","4330,00","5413,00",21,0,0,0,0,0,0,0
HM-TD2638T-8-G0T1,,Termica Bi-Spectral 8mm,HIKVISION,"2554,00","4064,00","5081,00",21,0,0,0,0,0,0,0
